Model Year,Mfr Name,Division,Carline,Verify Mfr Cd,Index (Model Type Index),City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel,City Unrd Adj FE - Conventional Fuel,Hwy Unrd Adj FE - Conventional Fuel,Comb Unrd Adj FE - Conventional Fuel
2019,Porsche,Porsche,911 Carrera GTS Cabriolet,PRX,123,23.2,36.9,27.8536,18.5,26.1,21.3
2019,Porsche,Porsche,911 Carrera S,PRX,106,27.8,40.4,32.3386,21.8,28.4,24.346
2019,Porsche,Porsche,911 Carrera S,PRX,105,24.6,40.6,29.903,19.5124,28.5101,22.7422
2019,Porsche,Porsche,911 Carrera S Cabriolet,PRX,108,27.6,39.9,32.0454,21.7,28.1,24.178
2019,Porsche,Porsche,911 Carrera S Cabriolet,PRX,107,24.6,40.1,29.7799,19.5,28.2,22.6436
2019,Porsche,Porsche,911 Carrera T,PRX,135,25,36.5,29.1301,19.8,25.9,22.1
2019,Porsche,Porsche,911 Carrera T,PRX,134,20,35.2,24.8237,16.1,25,19.2
2019,Porsche,Porsche,911 Targa 4,PRX,118,27.5,39.9,31.9712,21.6,28.1,24.1096
2019,Porsche,Porsche,911 Targa 4,PRX,117,24.3,39.5,29.3892,19.3,27.8,22.3791
2019,Porsche,Porsche,911 Targa 4 GTS,PRX,130,24.6,36,28.688,19.5,25.5,21.8
2019,Porsche,Porsche,911 Targa 4 GTS,PRX,129,22.3,36,26.908,17.8,25.5,20.6
2019,Porsche,Porsche,911 Targa 4S,PRX,120,26.8,39,31.1907,21.1067,27.4851,23.5679
2019,Porsche,Porsche,911 Targa 4S,PRX,119,24.3,39.3,29.3392,19.3,27.7,22.3499
2019,Porsche,Porsche,911 Turbo,PRX,521,23.4,33.4,27.0436,18.6,23.8,20.6637
2019,Porsche,Porsche,911 Turbo Cabriolet,PRX,522,23.3,33.3,26.9406,18.6,23.8,20.5915
2019,Porsche,Porsche,911 Turbo S,PRX,523,23.4,33.4,27.0436,18.6,23.8,20.6637
2019,Porsche,Porsche,911 Turbo S Cabriolet,PRX,524,23.3,33.3,26.9406,18.6,23.8,20.5915
2019,Subaru,Subaru,BRZ,FJX,2,31.3,47.3,36.92,24.2984,32.7237,27.4825
2019,Subaru,Subaru,BRZ,FJX,1,26.6391,40.8809,31.5917,20.9909,28.6893,23.8737
2019,Toyota,TOYOTA,86,TYX,111,30.6,46.6,36.1919,23.808,32.2893,26.9993
2019,Toyota,TOYOTA,86,TYX,112,26.7455,40.2359,31.4978,21.0675,28.2775,23.798
2019,Volkswagen Group of,Audi,A5 Cabriolet quattro,VGA,23,30.3882,46.1393,35.9038,23.4534,33.5185,27.1178
2019,Volkswagen Group of,Audi,A5 quattro,VGA,21,30.3882,46.1393,35.9038,23.4534,33.5185,27.1178
2019,Volkswagen Group of,Audi,RS 5,VGA,42,21.5,36.8,26.4483,17.6264,27.0133,20.8936
2019,Volkswagen Group of,Audi,S3,VGA,44,27,40.9,31.8747,21.8934,29.2622,24.6914
2019,Volkswagen Group of,Audi,S5,VGA,32,26.4477,42.2309,31.795,20.8529,29.5474,24.0356
2019,Volkswagen Group of,Audi,S5 Cabriolet,VGA,34,26.2,41,31.2813,20.6741,28.7652,23.6702
2019,BMW,BMW,230i Convertible,BMX,204,29.8191,47.3549,35.7817,23.2582,32.7577,26.7488
2019,BMW,BMW,230i Coupe,BMX,200,30.8033,50.544,37.3715,23.9506,34.7194,27.8358
2019,BMW,BMW,230i Coupe,BMX,201,26.6782,46.4901,33.0081,21.019,32.221,24.9173
2019,BMW,BMW,230i xDrive Convertible,BMX,206,29.8277,47.5509,35.8387,23.2643,32.8791,26.7896
2019,BMW,BMW,230i xDrive Coupe,BMX,202,30.4468,47.859,36.4074,23.7003,33.0697,27.1635
2019,BMW,BMW,430i Convertible,BMX,404,30.2926,49.5973,36.7251,23.5919,34.1399,27.4016
2019,BMW,BMW,430i xDrive Convertible,BMX,406,28.1539,46.4223,34.2125,22.0767,32.1789,25.7086
2019,BMW,BMW,440i Convertible,BMX,414,26.2806,41.7195,31.5315,20.7323,29.223,23.8507
2019,BMW,BMW,440i xDrive Convertible,BMX,416,25.0916,41.1098,30.4266,19.8706,28.8352,23.1027
2019,BMW,BMW,M2 Competition,BMX,281,20.6193,31.7667,24.4859,16.569,22.7577,18.8793
2019,BMW,BMW,M2 Competition,BMX,280,21.9409,34.6259,26.272,17.5547,24.6449,20.1654
2019,BMW,BMW,M240i Convertible,BMX,238,26.5131,42.526,31.9221,20.9001,29.7343,24.1256
2019,BMW,BMW,M240i Convertible,BMX,239,23.0765,38.1018,28.055,18.3949,26.9065,21.4481
2019,BMW,BMW,M240i Coupe,BMX,235,26.5131,42.526,31.9221,20.9001,29.7343,24.1256
2019,BMW,BMW,M240i Coupe,BMX,236,23.1,37.8,28,18.4122,26.7115,21.405
2019,BMW,BMW,M240i Coupe M Performance,BMX,232,26.5131,42.526,31.9221,20.9001,29.7343,24.1256
2019,BMW,BMW,M240i Coupe M Performance,BMX,233,23.1,37.8,28,18.4122,26.7115,21.405
2019,BMW,BMW,M240i xDrive Convertible,BMX,240,26.3545,42.7815,31.8594,20.7857,29.8959,24.089
2019,BMW,BMW,M240i xDrive Coupe,BMX,237,26.3545,42.7815,31.8594,20.7857,29.8959,24.089
2019,BMW,BMW,M240i xDrive Coupe M Performance,BMX,234,26.3545,42.7815,31.8594,20.7857,29.8959,24.089
2019,BMW,BMW,M4 Convertible,BMX,483,20.1444,31.1733,23.9588,16.2127,22.3629,18.5025
2019,BMW,BMW,M4 Convertible,BMX,482,21.1878,35.0359,25.7717,16.994,24.9135,19.8307
2019,BMW,BMW,M4 Convertible Competition,BMX,493,20.1444,31.1733,23.9588,16.2127,22.3629,18.5025
2019,BMW,BMW,M4 Convertible Competition,BMX,492,21.1878,35.0359,25.7717,16.994,24.9135,19.8307
2019,General Motors,Buick,CASCADA,GMX,247,26.1,42.1,31.4845,20.6019,29.4644,23.827
2019,General Motors,Chevrolet,CAMARO,GMX,325,27.6735,44.1107,33.2489,21.7335,30.7337,25.0323
2019,General Motors,Chevrolet,CAMARO,GMX,324,25.0099,42.798,30.7637,19.8111,29.9063,23.3595
2019,General Motors,Chevrolet,CAMARO,GMX,322,24.078,40.7205,29.5043,19.1307,28.587,22.4764
2019,General Motors,Chevrolet,CAMARO,GMX,323,20.5182,37.9083,25.8557,16.4932,26.7815,19.9403
2019,General Motors,Chevrolet,CAMARO,GMX,388,19.9,37,25.1254,16.2107,26.6563,19.6813
2019,General Motors,Chevrolet,CAMARO,GMX,382,15.3,27.0009,19.0064,12.8604,20.9514,15.5654
2019,General Motors,Chevrolet,CAMARO,GMX,193,19.6,33.4,24.0765,15.8028,23.8388,18.6287
2019,General Motors,Chevrolet,CAMARO,GMX,321,16.6897,26.9369,20.1369,13.5868,19.513,15.7376
2019,General Motors,Chevrolet,SPARK,GMX,248,39.3246,55.1996,45.1704,29.7693,37.5344,32.8252
2019,General Motors,Chevrolet,SPARK,GMX,250,38.6,55.4254,44.7073,29.2865,37.6694,32.5457
2019,General Motors,Chevrolet,SPARK ACTIV,GMX,249,39.3246,55.1996,45.1704,29.7693,37,32.8252
2019,General Motors,Chevrolet,SPARK ACTIV,GMX,251,38.6,55.4254,44.7073,29.2865,37,32
2019,Ford Motor Company,Ford,Fiesta FWD,FMX,141,36.1,54.1,42.4567,27,36.8746,31.1253
2019,Ford Motor Company,Ford,Fiesta FWD,FMX,142,35.3386,50.8886,40.9726,27.0862,34.9297,30.1309
2019,Ford Motor Company,Ford,MUSTANG,FMX,80,27.5,46.8,33.7662,21,32.4136,25.4226
2019,Ford Motor Company,Ford,MUSTANG,FMX,76,27.0421,43.9842,32.7122,21.2808,30.6541,24.6762
2019,Ford Motor Company,Ford,MUSTANG,FMX,81,19.3,35.9,24.3711,15.5764,25.478,18.8779
2019,Ford Motor Company,Ford,MUSTANG,FMX,77,18.6,32.2,22.9647,15.0462,24,18.2169
2019,Ford Motor Company,Ford,MUSTANG BULLITT,FMX,89,18.6,32.2,22.9647,15.0462,24,18.2169
2019,Ford Motor Company,Ford,MUSTANG CONVERTIBLE,FMX,82,24.9269,39.778,29.9605,19.7507,27.9845,22.7648
2019,Ford Motor Company,Ford,MUSTANG CONVERTIBLE,FMX,78,27.0421,43.9842,32.7122,20,28,23
2019,Ford Motor Company,Ford,MUSTANG CONVERTIBLE,FMX,79,18.7249,32.9828,23.2471,15.141,23.5634,18.0432
2019,Ford Motor Company,Ford,MUSTANG PERFORMANCE PACKAGE,FMX,162,27.5,46.8,33.7662,20,28,23
2019,Ford Motor Company,Ford,MUSTANG PERFORMANCE PACKAGE,FMX,161,27.0421,43.9842,32.7122,20,27,23
2019,Nissan,INFINITI,Q60,NSX,163,28.5499,46.2486,34.4893,22.3588,29.893,25.2191
2019,Nissan,INFINITI,Q60,NSX,136,24.3499,39.7499,29.4914,19.3297,27.9665,22.4496
2019,Nissan,INFINITI,Q60 AWD,NSX,164,26.7477,40.9978,31.7071,21.0691,28.059,23.7292
2019,Nissan,INFINITI,Q60 AWD,NSX,233,23.6,38.2997,28.527,18.7801,27.0342,21.7714
2019,Nissan,INFINITI,Q60 AWD RED SPORT,NSX,230,23.8474,36.4494,28.2413,18.9617,25.8358,21
2019,Nissan,INFINITI,Q60 RED SPORT,NSX,138,25.0475,39.4997,29.9843,19.8385,27,22
2019,Toyota,LEXUS,LC 500,TYX,51,19.3,34.6541,24.1063,15.5764,24.6634,18.6722
2019,Toyota,LEXUS,LC 500h,TYX,61,36.7,47.3,40.8161,26.5071,34.5781,29.6181
